"year","leading_cause","sex","race_ethnicity","deaths","death_rate","age_adjusted_death_rate"
2010,"Influenza ","F","Hispanic",228,18.7,23.1
2008,"Accidents Except Drug Posioning ","F","Hispanic",68,5.8,6.6
2013,"Accidents Except Drug Posioning ","M","White",271,20.1,17.9
2010,"Cerebrovascular Disease ","M","Hispanic",140,12.3,21.4
2009,"Assault ","M","Black",255,30,30
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","Other",NA,NA,NA
2012,"Cerebrovascular Disease ","F","Asian/PI",102,17.5,20.7
2009,"Essential Hypertension and Renal Diseases ","M","Asian/PI",26,5.1,7.2
2010,"All Other Causes","F","White",2140,149.7,93.9
2009,"Alzheimer's Disease ","F","Other",NA,NA,NA
2013,"Cerebrovascular Disease ","M","Black",191,22.3,25
2011,"Cerebrovascular Disease ","F","Black",281,26.8,23.6
2012,"Diseases of Heart ","F","Unknown",76,NA,NA
2013,"Intentional Self-Harm ","M","Unknown",17,NA,NA
2011,"Human Immunodeficiency Virus Disease ","F","Hispanic",70,5.7,5.7
2011,"Accidents Except Drug Posioning ","F","Other",NA,NA,NA
2014,"Chronic Liver Disease and Cirrhosis ","M","Other",10,NA,NA
2007,"Diseases of Heart ","M","Black",2121,248.9,340.2
2008,"Chronic Liver Disease and Cirrhosis ","F","Unknown",NA,NA,NA
2007,"Alzheimer's Disease ","F","Unknown",NA,NA,NA
2011,"Alzheimer's Disease ","F","Hispanic",90,7.3,9.1
2009,"Influenza ","M","Hispanic",183,16.3,30.9
2008,"Accidents Except Drug Posioning ","M","Unknown",13,NA,NA
2007,"Essential Hypertension and Renal Diseases ","M","White",123,9.2,7.6
2009,"Diseases of Heart ","M","Asian/PI",554,108.5,158.8
2009,"Essential Hypertension and Renal Diseases ","F","Hispanic",84,7,8.8
2014,"All Other Causes","F","Other",59,NA,NA
2012,"Malignant Neoplasms ","F","Other",29,NA,NA
2010,"All Other Causes","F","Black",1326,126.5,117.4
2007,"Chronic Liver Disease and Cirrhosis ","M","Hispanic",107,9.8,12.8
2011,"Cerebrovascular Disease ","F","White",466,32.9,17.6
2008,"Human Immunodeficiency Virus Disease ","M","Black",356,41.9,41.8
2007,"All Other Causes","F","White",1680,117.1,81.5
2011,"Malignant Neoplasms ","M","White",3222,241.6,206.1
2014,"Essential Hypertension and Renal Diseases ","F","Other",NA,NA,NA
2013,"Malignant Neoplasms ","M","Black",1592,185.5,212.8
2010,"Chronic Lower Respiratory Diseases ","F","Unknown",6,NA,NA
2013,"Cerebrovascular Disease ","F","Black",271,25.9,21.7
2013,"Human Immunodeficiency Virus Disease ","M","Black",204,23.8,23.2
2010,"Cerebrovascular Disease ","M","Other",NA,NA,NA
2009,"Diseases of Heart ","M","White",5168,384.2,319.8
2009,"Diabetes Mellitus ","M","White",290,21.6,18.2
2009,"Influenza ","F","Black",281,26.8,24.5
2007,"Chronic Liver Disease and Cirrhosis ","F","Unknown",NA,NA,NA
2008,"Certain Conditions originating in the Perinatal Period ","F","Unknown",6,NA,NA
2008,"Essential Hypertension and Renal Diseases ","F","Unknown",NA,NA,NA
2011,"Essential Hypertension and Renal Diseases ","M","Unknown",NA,NA,NA
2013,"Essential Hypertension and Renal Diseases ","F","Other",8,NA,NA
2014,"Essential Hypertension and Renal Diseases ","F","Asian/PI",29,4.6,5.1
2007,"Chronic Liver Disease and Cirrhosis ","M","Other",NA,NA,NA
2013,"All Other Causes","M","White",2293,170.3,143.3
2008,"Accidents Except Drug Posioning ","M","Black",146,17.2,18.1
2007,"Malignant Neoplasms ","M","Unknown",45,NA,NA
2008,"Cerebrovascular Disease ","M","Hispanic",124,11.2,18.8
2009,"Diseases of Heart ","F","Asian/PI",448,81.6,108.7
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",145,12.6,13
2012,"Diabetes Mellitus ","F","Unknown",15,NA,NA
2007,"Accidents Except Drug Posioning ","M","Other",5,NA,NA
2010,"Accidents Except Drug Posioning ","M","White",271,20.2,18.4
2010,"Accidents Except Drug Posioning ","F","White",163,11.4,7.8
2014,"Septicemia ","M","Unknown",8,NA,NA
2010,"Malignant Neoplasms ","M","Unknown",46,NA,NA
2014,"Diseases of Heart ","F","Unknown",95,NA,NA
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",172,15.6,16.3
2008,"Malignant Neoplasms ","M","Black",1464,172.4,220.4
2008,"Essential Hypertension and Renal Diseases ","F","Other",NA,NA,NA
2013,"Diabetes Mellitus ","M","Black",300,35,41.1
2007,"Malignant Neoplasms ","M","Asian/PI",528,109.1,145.9
2009,"All Other Causes","F","Other",11,NA,NA
2007,"Diabetes Mellitus ","F","White",231,16.1,9.8
2008,"Certain Conditions originating in the Perinatal Period ","F","Other",NA,NA,NA
2009,"Influenza ","M","White",555,41.3,34.3
2014,"Human Immunodeficiency Virus Disease ","F","Black",102,9.7,8.5
2011,"Cerebrovascular Disease ","M","Hispanic",147,12.8,20.9
2013,"Septicemia ","F","Asian/PI",16,2.7,2.9
2009,"Chronic Lower Respiratory Diseases ","M","Black",147,17.3,22.6
2007,"Aortic Aneurysm and Dissection ","F","Unknown",NA,NA,NA
2007,"Cerebrovascular Disease ","M","Other",7,NA,NA
2009,"Cerebrovascular Disease ","F","Other",NA,NA,NA
2012,"Diseases of Heart ","F","Hispanic",1263,102,118.4
2013,"Accidents Except Drug Posioning ","F","White",166,11.7,8.1
2014,"Human Immunodeficiency Virus Disease ","F","Unknown",7,NA,NA
2012,"Aortic Aneurysm and Dissection ","F","Other",NA,NA,NA
2007,"Influenza ","F","Black",295,28,26.9
2012,"Accidents Except Drug Posioning ","M","Hispanic",191,16.3,19.7
2009,"Influenza ","F","Hispanic",216,18,22.8
2010,"Malignant Neoplasms ","M","Hispanic",1057,92.5,150
2010,"Assault ","M","Other",NA,NA,NA
2011,"Diabetes Mellitus ","F","Black",410,39.2,34.7
2011,"Diabetes Mellitus ","F","Asian/PI",51,8.9,10.7
2013,"Chronic Liver Disease and Cirrhosis ","M","Unknown",16,NA,NA
2007,"Diseases of Heart ","F","Black",2722,258.6,247.3
2008,"Chronic Liver Disease and Cirrhosis ","M","Hispanic",149,13.5,16.8
2013,"Essential Hypertension and Renal Diseases ","M","Asian/PI",33,6,8.4
2008,"Essential Hypertension and Renal Diseases ","F","Black",192,18.3,17.1
2012,"Diabetes Mellitus ","F","Other",9,NA,NA
2013,"Chronic Lower Respiratory Diseases ","F","Unknown",9,NA,NA
2007,"Chronic Lower Respiratory Diseases ","M","Other",NA,NA,NA
2010,"Diseases of Heart ","M","White",4495,335.1,277
2012,"Diseases of Heart ","M","Black",1940,226.8,280.7
2008,"Malignant Neoplasms ","F","White",3366,234.5,160.5
2014,"Influenza ","F","White",563,39.7,20.4
2009,"Accidents Except Drug Posioning ","M","Other",NA,NA,NA
2014,"Essential Hypertension and Renal Diseases ","F","White",180,12.7,6.7
2010,"Diabetes Mellitus ","M","Unknown",7,NA,NA
2009,"Malignant Neoplasms ","M","Unknown",47,NA,NA
2010,"Cerebrovascular Disease ","F","Unknown",NA,NA,NA
2008,"Chronic Liver Disease and Cirrhosis ","F","Hispanic",63,5.3,6.2
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Unknown",10,NA,NA
2008,"Malignant Neoplasms ","F","Unknown",36,NA,NA
2007,"All Other Causes","F","Black",1230,116.8,113.4
2007,"Cerebrovascular Disease ","F","Black",279,26.5,25.3
2009,"Accidents Except Drug Posioning ","F","Asian/PI",37,6.7,8
2012,"Septicemia ","M","Other",6,NA,NA
2014,"Malignant Neoplasms ","F","Black",1852,176.5,148.4
2007,"Influenza ","M","White",530,39.6,32.9
2011,"Malignant Neoplasms ","F","Unknown",11,NA,NA
2014,"Diseases of Heart ","M","Asian/PI",554,96.5,118.5
2008,"Aortic Aneurysm and Dissection ","M","Other",NA,NA,NA
2010,"Mental and Behavioral Disorders due to Use of Alcohol ","M","Other",NA,NA,NA
2014,"Assault ","M","Black",186,21.5,21.5
2009,"Certain Conditions originating in the Perinatal Period ","F","Unknown",NA,NA,NA
2010,"Influenza ","M","Hispanic",235,20.6,38.9
2010,"Diseases of Heart ","F","Black",2282,217.7,194.2
2008,"Cerebrovascular Disease ","F","Asian/PI",65,12.2,15.4
2009,"Diseases of Heart ","M","Other",38,NA,NA
2010,"Insitu or Benign / Uncertain Neoplasms ","F","Unknown",NA,NA,NA
2007,"Accidents Except Drug Posioning ","M","White",297,22.2,19.8
2011,"Chronic Lower Respiratory Diseases ","F","Hispanic",156,12.7,15
2010,"Essential Hypertension and Renal Diseases ","F","Other",NA,NA,NA
2012,"Diabetes Mellitus ","F","Asian/PI",57,9.8,11.4
2014,"Influenza ","M","Unknown",14,NA,NA
2007,"Mental and Behavioral Disorders due to Use of Alcohol ","M","Unknown",NA,NA,NA
2010,"Malignant Neoplasms ","M","Asian/PI",526,101,124.5
2013,"All Other Causes","M","Hispanic",1193,101,146.4
2014,"All Other Causes","M","Black",1375,159.3,177.8
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Unknown",5,NA,NA
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Unknown",7,NA,NA
2011,"Influenza ","F","Black",273,26.1,22.8
2010,"Influenza ","F","Black",275,26.2,23.6
2012,"Chronic Lower Respiratory Diseases ","F","Unknown",8,NA,NA
2012,"Cerebrovascular Disease ","M","Hispanic",129,11,17.2
2014,"Human Immunodeficiency Virus Disease ","M","Other",10,NA,NA
2009,"Accidents Except Drug Posioning ","M","Asian/PI",55,10.8,12.3
2008,"Certain Conditions originating in the Perinatal Period ","M","Unknown",6,NA,NA
2014,"Chronic Lower Respiratory Diseases ","F","White",515,36.3,21
2012,"Cerebrovascular Disease ","M","Asian/PI",70,13,17.5
2007,"All Other Causes","F","Hispanic",820,70.2,85.6
2012,"Malignant Neoplasms ","F","Asian/PI",461,78.9,83.8
2011,"Parkinson's Disease ","F","Unknown",NA,NA,NA
2011,"Cerebrovascular Disease ","M","White",290,21.7,18.2
2014,"Cerebrovascular Disease ","M","Black",197,22.8,26.4
2010,"All Other Causes","F","Hispanic",1007,82.7,94.6
2013,"Intentional Self-Harm ","F","Other",5,NA,NA
2011,"Intentional Self-Harm ","F","Other",NA,NA,NA
2007,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","White",89,6.2,3.5
2014,"Malignant Neoplasms ","F","Other",66,NA,NA
2010,"Diabetes Mellitus ","F","Other",7,NA,NA
2013,"Diseases of Heart ","F","White",4535,319,160.6
2010,"Diabetes Mellitus ","F","Hispanic",219,18,21.5
2014,"Malignant Neoplasms ","M","Black",1532,177.5,199.6
2009,"All Other Causes","M","Other",18,NA,NA
2009,"Chronic Liver Disease and Cirrhosis ","M","Hispanic",119,10.6,14.1
2012,"Septicemia ","F","White",113,8,4.2
2008,"Diabetes Mellitus ","M","Other",NA,NA,NA
2007,"Chronic Lower Respiratory Diseases ","F","Hispanic",116,9.9,12.8
2013,"Malignant Neoplasms ","M","Asian/PI",633,114.2,130.9
2010,"Influenza ","M","Other",6,NA,NA
2013,"Chronic Lower Respiratory Diseases ","F","Asian/PI",27,4.5,5.2
2012,"Alzheimer's Disease ","F","Hispanic",126,10.2,12.2
2011,"Diseases of Heart ","F","White",5016,354.1,179.8
2008,"All Other Causes","F","Asian/PI",214,40.2,50.3
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","White",86,6,5.5
2008,"Cerebrovascular Disease ","M","Black",206,24.3,31
2013,"Diabetes Mellitus ","M","Unknown",19,NA,NA
2010,"Essential Hypertension and Renal Diseases ","F","Black",252,24,21.4
2013,"Diseases of Heart ","F","Unknown",106,NA,NA
2009,"Alzheimer's Disease ","F","Hispanic",56,4.7,6.2
2014,"Diabetes Mellitus ","F","Hispanic",209,16.5,17.9
2008,"Chronic Lower Respiratory Diseases ","M","Black",169,19.9,26.4
2014,"Cerebrovascular Disease ","M","White",277,20.6,16.8
2012,"Diseases of Heart ","F","Black",2269,217.1,183.9
2010,"Essential Hypertension and Renal Diseases ","F","Asian/PI",33,5.9,7.1
2010,"Diseases of Heart ","M","Other",52,NA,NA
2008,"Human Immunodeficiency Virus Disease ","M","Hispanic",222,20.1,22.7
2011,"Septicemia ","F","Unknown",NA,NA,NA
2008,"Chronic Lower Respiratory Diseases ","F","Black",191,18.2,17.1
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",138,12.1,12.9
2011,"All Other Causes","M","White",2165,162.3,139.5
2009,"Chronic Liver Disease and Cirrhosis ","M","Asian/PI",17,3.3,3.5
2008,"Chronic Lower Respiratory Diseases ","F","Other",NA,NA,NA
2012,"Malignant Neoplasms ","M","Unknown",53,NA,NA
2012,"Diabetes Mellitus ","M","Black",308,36,42.9
2008,"All Other Causes","M","White",1824,135.9,119.9
2014,"Diseases of Heart ","M","Other",63,NA,NA
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",188,15.9,16.6
2013,"Certain Conditions originating in the Perinatal Period ","M","Unknown",25,NA,NA
2012,"All Other Causes","F","Other",22,NA,NA
2013,"Chronic Lower Respiratory Diseases ","M","Asian/PI",72,13,18.5
2007,"Diabetes Mellitus ","M","Hispanic",177,16.2,27.6
2014,"Influenza ","F","Other",9,NA,NA
2011,"Malignant Neoplasms ","F","White",3371,238,161.1
2011,"Cerebrovascular Disease ","M","Black",200,23.4,28.1
2012,"Diabetes Mellitus ","M","Other",8,NA,NA
2013,"Malignant Neoplasms ","F","Black",1784,170.8,145.5
2008,"Essential Hypertension and Renal Diseases ","M","Other",NA,NA,NA
2010,"Influenza ","F","Other",NA,NA,NA
2007,"Influenza ","M","Hispanic",189,17.3,36.7
2009,"Chronic Lower Respiratory Diseases ","M","White",371,27.6,23.3
2007,"Insitu or Benign / Uncertain Neoplasms ","F","Unknown",NA,NA,NA
2012,"Malignant Neoplasms ","F","Unknown",36,NA,NA
2012,"Chronic Lower Respiratory Diseases ","F","Asian/PI",39,6.7,8
2007,"Malignant Neoplasms ","F","Other",22,NA,NA
2012,"Human Immunodeficiency Virus Disease ","M","Hispanic",103,8.8,10.1
2011,"Diseases of Heart ","F","Other",31,NA,NA
2007,"Cerebrovascular Disease ","M","Black",213,25,33
2009,"Chronic Lower Respiratory Diseases ","F","Unknown",7,NA,NA
2014,"Chronic Lower Respiratory Diseases ","M","Asian/PI",95,16.6,22.9
2011,"Certain Conditions originating in the Perinatal Period ","M","Asian/PI",19,3.6,4.2
2009,"Malignant Neoplasms ","F","Hispanic",1097,91.6,107.2
2009,"Chronic Liver Disease and Cirrhosis ","M","Unknown",10,NA,NA
2009,"Alzheimer's Disease ","F","Unknown",NA,NA,NA
2012,"Cerebrovascular Disease ","M","White",285,21.3,17.6
2011,"Diseases of Heart ","M","Hispanic",1201,104.2,180.8
2011,"Chronic Lower Respiratory Diseases ","M","Other",NA,NA,NA
2012,"Accidents Except Drug Posioning ","F","Unknown",NA,NA,NA
2009,"Essential Hypertension and Renal Diseases ","M","White",148,11,9.1
2013,"Diabetes Mellitus ","F","Hispanic",221,17.7,19.6
2011,"Malignant Neoplasms ","M","Unknown",27,NA,NA
2013,"Viral Hepatitis ","F","Asian/PI",15,2.5,2.5
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Other",NA,NA,NA
2014,"Diseases of Heart ","M","Unknown",115,NA,NA
2009,"Diseases of Heart ","F","White",6297,438.3,226.2
2011,"Human Immunodeficiency Virus Disease ","M","Hispanic",162,14.1,16.2
2014,"Malignant Neoplasms ","F","Asian/PI",502,80.2,80.6
2012,"All Other Causes","M","Hispanic",1199,102.6,150.5
2011,"Essential Hypertension and Renal Diseases ","M","Black",154,18.1,21.7
2012,"Diseases of Heart ","M","Other",39,NA,NA
2008,"Diabetes Mellitus ","F","Black",380,36.3,34.3
2011,"All Other Causes","M","Black",1337,156.7,181.7
2007,"Human Immunodeficiency Virus Disease ","F","Unknown",5,NA,NA
2010,"Chronic Lower Respiratory Diseases ","M","Black",202,23.7,30.9
2012,"Influenza ","F","Other",6,NA,NA
2010,"All Other Causes","M","Other",25,NA,NA
2014,"Cerebrovascular Disease ","F","White",418,29.5,15.6
2008,"Human Immunodeficiency Virus Disease ","F","Black",227,21.7,20
2010,"Septicemia ","F","Unknown",NA,NA,NA
2008,"Diabetes Mellitus ","F","Hispanic",228,19.3,24.1
2013,"Chronic Lower Respiratory Diseases ","F","White",521,36.6,21.6
2013,"Accidents Except Drug Posioning ","M","Hispanic",189,16,19
2012,"Influenza ","M","Asian/PI",76,14.1,20.9
2011,"Accidents Except Drug Posioning ","F","Asian/PI",43,7.5,8.5
2010,"Intentional Self-Harm ","F","Asian/PI",17,3,2.9
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Black",135,15.8,14.8
2012,"Influenza ","F","Asian/PI",74,12.7,15.1
2013,"Influenza ","F","Hispanic",204,16.3,18.5
2013,"Malignant Neoplasms ","F","Other",43,NA,NA
2011,"Diseases of Heart ","F","Asian/PI",402,70.5,86.1
2014,"Chronic Liver Disease and Cirrhosis ","F","Hispanic",66,5.2,5.4
2009,"Diabetes Mellitus ","F","White",229,15.9,9.5
2013,"All Other Causes","M","Black",1341,156.3,175.7
2012,"Malignant Neoplasms ","F","Hispanic",1125,90.8,100.5
2011,"Intentional Self-Harm ","F","Asian/PI",21,3.7,3.7
2010,"Essential Hypertension and Renal Diseases ","F","Unknown",5,NA,NA
2007,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Asian/PI",13,2.5,3.2
2014,"Cerebrovascular Disease ","M","Hispanic",165,13.8,20.4
2007,"Influenza ","F","Asian/PI",58,11.3,15.8
2010,"Alzheimer's Disease ","F","White",247,17.3,7.5
2013,"Septicemia ","F","White",135,9.5,5
2008,"Diseases of Heart ","M","Hispanic",1330,120.3,228
2008,"Cerebrovascular Disease ","M","Asian/PI",48,9.6,14.1
2008,"Chronic Lower Respiratory Diseases ","F","Unknown",NA,NA,NA
2008,"Cerebrovascular Disease ","F","Black",267,25.5,23.6
2011,"Diseases of Heart ","F","Unknown",43,NA,NA
2011,"Essential Hypertension and Renal Diseases ","M","White",142,10.6,8.8
2010,"All Other Causes","F","Other",27,NA,NA
2012,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Asian/PI",22,3.8,4.3
2011,"Diabetes Mellitus ","F","Hispanic",196,16,18.5
2009,"All Other Causes","F","Black",1305,124.6,117.3
2011,"Alzheimer's Disease ","F","Black",90,8.6,7.4
2012,"Accidents Except Drug Posioning ","F","Hispanic",60,4.8,5.2
2010,"Diseases of Heart ","F","White",5351,374.2,189.2
2013,"Malignant Neoplasms ","M","White",3132,232.7,194.5
2008,"All Other Causes","F","White",1706,118.9,78.6
2014,"All Other Causes","F","Asian/PI",339,54.2,59
2007,"Diabetes Mellitus ","M","Other",11,NA,NA
2007,"Diseases of Heart ","F","Asian/PI",428,83.1,115.2
2013,"Malignant Neoplasms ","F","White",3187,224.2,153.3
2013,"Essential Hypertension and Renal Diseases ","F","Unknown",7,NA,NA
2011,"Malignant Neoplasms ","M","Asian/PI",550,104.1,130.4
2007,"Chronic Lower Respiratory Diseases ","M","Unknown",NA,NA,NA
2007,"Diseases of Heart ","M","Other",36,NA,NA
2012,"Alzheimer's Disease ","F","Other",NA,NA,NA
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","White",75,5.2,5.1
2012,"Chronic Lower Respiratory Diseases ","F","White",507,35.7,21.4
2009,"Essential Hypertension and Renal Diseases ","F","White",215,15,7.8
2014,"Cerebrovascular Disease ","F","Unknown",10,NA,NA
2008,"Assault ","M","Unknown",8,NA,NA
2014,"Diabetes Mellitus ","M","Unknown",8,NA,NA
2007,"Accidents Except Drug Posioning ","M","Asian/PI",53,11,13
2009,"Diabetes Mellitus ","F","Black",384,36.7,33.7
2012,"Cerebrovascular Disease ","F","Unknown",9,NA,NA
2007,"Malignant Neoplasms ","F","Unknown",51,NA,NA
2011,"All Other Causes","F","Asian/PI",278,48.7,57.4
2009,"All Other Causes","M","Black",1246,146.7,167.7
2013,"Accidents Except Drug Posioning ","M","Black",159,18.5,19.1
2014,"Intentional Self-Harm ","M","Asian/PI",50,8.7,8.7
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","White",227,16.9,15.5
2011,"Assault ","M","Black",266,31.2,31.5
2007,"Accidents Except Drug Posioning ","F","Other",NA,NA,NA
2013,"All Other Causes","F","Asian/PI",320,53.3,59
2014,"Cerebrovascular Disease ","F","Asian/PI",112,17.9,19.1
2009,"Diabetes Mellitus ","M","Hispanic",172,15.3,25.4
2013,"Essential Hypertension and Renal Diseases ","M","White",156,11.6,9.3
2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ","M","Asian/PI",14,2.8,3
2010,"Chronic Lower Respiratory Diseases ","M","Other",5,NA,NA
2008,"Intentional Self-Harm ","F","Asian/PI",26,4.9,4.5
2010,"Diabetes Mellitus ","M","White",245,18.3,15.6
2014,"Intentional Self-Harm ","F","Other",5,NA,NA
2012,"Assault ","M","Other",NA,NA,NA
2014,"Accidents Except Drug Posioning ","F","Unknown",NA,NA,NA
2008,"Assault ","M","Other",5,NA,NA
2009,"Diseases of Heart ","F","Black",2535,242.1,220.9
2014,"Chronic Lower Respiratory Diseases ","M","Unknown",14,NA,NA
2010,"Essential Hypertension and Renal Diseases ","M","Black",178,20.9,27.7
2013,"All Other Causes","F","Unknown",79,NA,NA
2010,"Assault ","M","Black",299,35.1,35.5
2014,"Chronic Lower Respiratory Diseases ","M","Hispanic",145,12.1,19.3
2008,"Diseases of Heart ","M","White",5503,410,342.3
2009,"Chronic Lower Respiratory Diseases ","F","Hispanic",155,12.9,16
2012,"Certain Conditions originating in the Perinatal Period ","M","Unknown",17,NA,NA
2008,"All Other Causes","F","Black",1268,121,116.1
2012,"Septicemia ","F","Other",NA,NA,NA
2011,"Human Immunodeficiency Virus Disease ","F","Black",144,13.8,12.4
2008,"Alzheimer's Disease ","F","White",151,10.5,5.1
2009,"Cerebrovascular Disease ","F","Hispanic",154,12.9,16
2010,"Malignant Neoplasms ","F","White",3438,240.4,163
2009,"Chronic Lower Respiratory Diseases ","F","Asian/PI",30,5.5,7.4
2014,"Intentional Self-Harm ","F","Asian/PI",28,4.5,4.2
2013,"Alzheimer's Disease ","M","Other",NA,NA,NA
2007,"All Other Causes","M","Hispanic",988,90.6,142.6
2009,"Accidents Except Drug Posioning ","M","White",279,20.7,18.7
2011,"Influenza ","F","Asian/PI",83,14.5,17.8
2013,"Cerebrovascular Disease ","F","Hispanic",222,17.8,19.8
2012,"Cerebrovascular Disease ","M","Unknown",10,NA,NA
2014,"Diseases of Heart ","M","White",3990,297.1,238.4
2009,"Accidents Except Drug Posioning ","M","Unknown",16,NA,NA
2008,"Chronic Lower Respiratory Diseases ","F","White",518,36.1,21.4
2012,"All Other Causes","F","White",2444,172.3,105.1
2013,"Cerebrovascular Disease ","M","Hispanic",158,13.4,20.8
2013,"Essential Hypertension and Renal Diseases ","F","Asian/PI",50,8.3,9.3
2007,"Influenza ","M","Black",229,26.9,40.1
2011,"All Other Causes","M","Asian/PI",340,64.3,85.1
2014,"Essential Hypertension and Renal Diseases ","M","Black",155,18,21.6
2011,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ","M","Unknown",NA,NA,NA
2012,"Chronic Lower Respiratory Diseases ","M","Black",184,21.5,27.3
2009,"Malignant Neoplasms ","F","Asian/PI",398,72.5,83.5
2007,"Diabetes Mellitus ","F","Black",358,34,32.5
2010,"Chronic Lower Respiratory Diseases ","F","Black",206,19.6,17.7
2014,"All Other Causes","M","Other",74,NA,NA
2007,"Diabetes Mellitus ","M","Black",246,28.9,38.1
2012,"Chronic Lower Respiratory Diseases ","M","White",352,26.3,21.8
2011,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Black",83,7.9,6.9
