"year","leading_cause","sex","race_ethnicity","deaths","death_rate","age_adjusted_death_rate"
2013,"Diabetes Mellitus ","F","Black",410,39.3,33.1
2009,"Essential Hypertension and Renal Diseases ","M","Black",131,15.4,19
2014,"Chronic Lower Respiratory Diseases ","M","White",399,29.7,24
2009,"All Other Causes","M","Hispanic",1067,95,138.1
2012,"Influenza ","M","White",540,40.3,32.3
2010,"Alzheimer's Disease ","F","Hispanic",71,5.8,7.5
2013,"Alzheimer's Disease ","F","Black",106,10.1,8
2013,"Accidents Except Drug Posioning ","F","Hispanic",60,4.8,5.1
2013,"Chronic Liver Disease and Cirrhosis ","M","Other",NA,NA,NA
2011,"Chronic Lower Respiratory Diseases ","F","Asian/PI",30,5.3,6.6
2008,"Essential Hypertension and Renal Diseases ","M","White",165,12.3,10.3
2009,"Influenza ","M","Black",207,24.4,33.3
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","Hispanic",56,4.6,4.5
2007,"Cerebrovascular Disease ","M","Asian/PI",56,11.6,16.2
2007,"Diseases of Heart ","M","Hispanic",1327,121.7,238.4
2009,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ","F","Other",NA,NA,NA
2008,"Influenza ","M","Unknown",11,NA,NA
2009,"Cerebrovascular Disease ","M","Black",154,18.1,22.8
2014,"Influenza ","M","Black",242,28,33.9
2012,"Influenza ","M","Other",NA,NA,NA
2008,"All Other Causes","M","Hispanic",1069,96.7,139.5
2014,"Accidents Except Drug Posioning ","F","Hispanic",64,5.1,5.4
2011,"Cerebrovascular Disease ","F","Other",5,NA,NA
2009,"Intentional Self-Harm ","M","Asian/PI",35,6.9,6.7
2011,"Diabetes Mellitus ","F","Other",8,NA,NA
2014,"Diabetes Mellitus ","M","Hispanic",186,15.6,23.2
2010,"Accidents Except Drug Posioning ","F","Unknown",NA,NA,NA
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Unknown",13,NA,NA
2013,"Cerebrovascular Disease ","F","Unknown",14,NA,NA
2014,"Cerebrovascular Disease ","M","Unknown",8,NA,NA
2011,"Accidents Except Drug Posioning ","M","Other",10,NA,NA
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","White",286,21.2,19.5
2013,"Chronic Lower Respiratory Diseases ","M","Hispanic",142,12,20
2011,"Influenza ","F","Unknown",8,NA,NA
2014,"Human Immunodeficiency Virus Disease ","M","Black",196,22.7,21.7
2008,"Influenza ","F","White",621,43.3,22.2
2010,"Diseases of Heart ","M","Black",2015,236.7,307.7
2007,"Diabetes Mellitus ","M","White",237,17.7,15
2009,"Accidents Except Drug Posioning ","F","Hispanic",56,4.7,5.3
2012,"Intentional Self-Harm ","M","White",199,14.9,13.6
2012,"Diseases of Heart ","F","Asian/PI",402,68.8,81.2
2010,"Malignant Neoplasms ","F","Hispanic",1045,85.9,98.5
2014,"Intentional Self-Harm ","M","White",204,15.2,13.4
2011,"Chronic Lower Respiratory Diseases ","F","White",510,36,21
2010,"Cerebrovascular Disease ","F","Asian/PI",89,15.8,19.2
2008,"Accidents Except Drug Posioning ","M","Hispanic",186,16.8,20.6
2014,"Malignant Neoplasms ","M","Hispanic",1146,96,143.5
2014,"Chronic Lower Respiratory Diseases ","F","Hispanic",193,15.2,16.8
2010,"All Other Causes","M","Unknown",32,NA,NA
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",191,16,16.6
2012,"Essential Hypertension and Renal Diseases ","M","Asian/PI",39,7.2,10.8
2007,"Cerebrovascular Disease ","M","Hispanic",126,11.6,20
2011,"Diabetes Mellitus ","F","White",253,17.9,11.1
2009,"Diabetes Mellitus ","F","Hispanic",215,18,22.2
2014,"Accidents Except Drug Posioning ","M","Other",12,NA,NA
2008,"Diseases of Heart ","F","Other",35,NA,NA
2013,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Other",NA,NA,NA
2012,"Intentional Self-Harm ","M","Asian/PI",40,7.4,7.3
2013,"Intentional Self-Harm ","M","Asian/PI",41,7.4,7.2
2012,"Diabetes Mellitus ","F","Black",409,39.1,33.8
2013,"Chronic Lower Respiratory Diseases ","M","White",437,32.5,26.4
2013,"All Other Causes","M","Unknown",139,NA,NA
2011,"Chronic Lower Respiratory Diseases ","M","Hispanic",123,10.7,19.2
2012,"Essential Hypertension and Renal Diseases ","M","White",153,11.4,9.3
2014,"Malignant Neoplasms ","M","Asian/PI",657,114.5,129.5
2007,"Accidents Except Drug Posioning ","M","Hispanic",154,14.1,17.4
2011,"Malignant Neoplasms ","F","Black",1918,183.2,163.3
2007,"Influenza ","M","Unknown",13,NA,NA
2009,"Accidents Except Drug Posioning ","F","White",178,12.4,8.3
2011,"Accidents Except Drug Posioning ","M","White",272,20.4,18.1
2009,"Diseases of Heart ","M","Hispanic",1382,123.1,227.9
2010,"Accidents Except Drug Posioning ","F","Other",NA,NA,NA
2011,"Diabetes Mellitus ","M","Other",14,NA,NA
2013,"Malignant Neoplasms ","F","Hispanic",1149,92.1,99.9
2013,"Influenza ","M","Hispanic",233,19.7,33.1
2007,"Accidents Except Drug Posioning ","M","Unknown",8,NA,NA
2012,"Accidents Except Drug Posioning ","F","Asian/PI",34,5.8,6.4
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",145,12.9,13.5
2012,"All Other Causes","M","Asian/PI",333,61.6,79.7
2007,"Diseases of Heart ","F","White",7050,491.4,250.7
2008,"Influenza ","F","Asian/PI",73,13.7,19.1
2011,"Cerebrovascular Disease ","F","Asian/PI",98,17.2,20.6
2009,"Human Immunodeficiency Virus Disease ","F","Black",208,19.9,17.9
2014,"Diabetes Mellitus ","F","Black",398,37.9,31.6
2012,"Cerebrovascular Disease ","M","Other",7,NA,NA
2012,"Intentional Self-Harm ","M","Unknown",8,NA,NA
2011,"Diseases of Heart ","M","Black",1840,215.7,268.3
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ","F","Other",NA,NA,NA
2008,"All Other Causes","F","Other",19,NA,NA
2011,"Human Immunodeficiency Virus Disease ","F","Unknown",NA,NA,NA
2007,"Human Immunodeficiency Virus Disease ","M","Other",NA,NA,NA
2010,"Chronic Lower Respiratory Diseases ","F","White",501,35,20.7
2010,"Diabetes Mellitus ","F","Asian/PI",51,9.1,11.3
2011,"Diseases of Heart ","M","Asian/PI",452,85.5,117.8
2012,"Malignant Neoplasms ","F","Black",1912,182.9,159.1
2008,"Malignant Neoplasms ","F","Asian/PI",344,64.6,73.8
2014,"Accidents Except Drug Posioning ","F","Asian/PI",42,6.7,6.9
2011,"Malignant Neoplasms ","F","Hispanic",1085,88.6,99.6
2013,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Black",93,8.9,7.6
2014,"Certain Conditions originating in the Perinatal Period ","M","Unknown",25,NA,NA
2012,"Accidents Except Drug Posioning ","M","Other",5,NA,NA
2013,"Influenza ","F","Asian/PI",78,13,14.6
2007,"Assault ","M","Unknown",NA,NA,NA
2008,"Diseases of Heart ","M","Other",39,NA,NA
2010,"Essential Hypertension and Renal Diseases ","M","Asian/PI",30,5.8,8.7
2012,"Diabetes Mellitus ","F","White",240,16.9,10.3
2007,"Human Immunodeficiency Virus Disease ","M","Hispanic",218,20,23.1
2008,"Cerebrovascular Disease ","M","Other",5,NA,NA
2012,"Malignant Neoplasms ","M","Other",34,NA,NA
2008,"All Other Causes","F","Hispanic",885,74.9,90.2
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Unknown",21,NA,NA
2009,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Other",NA,NA,NA
2014,"Chronic Liver Disease and Cirrhosis ","M","Asian/PI",31,5.4,5.3
2008,"Essential Hypertension and Renal Diseases ","F","White",151,10.5,5.9
2012,"Influenza ","M","Black",242,28.3,37.4
2007,"Malignant Neoplasms ","M","Hispanic",1013,92.9,163.5
2009,"Essential Hypertension and Renal Diseases ","M","Other",NA,NA,NA
2012,"Human Immunodeficiency Virus Disease ","M","Unknown",9,NA,NA
2008,"Influenza ","M","Asian/PI",90,18.1,30.2
2009,"Malignant Neoplasms ","M","Other",12,NA,NA
2010,"Chronic Lower Respiratory Diseases ","M","Unknown",12,NA,NA
2010,"Malignant Neoplasms ","F","Black",1768,168.6,151.8
2012,"Cerebrovascular Disease ","F","Hispanic",169,13.6,15.7
2012,"Chronic Liver Disease and Cirrhosis ","M","Asian/PI",20,3.7,4.1
2010,"Human Immunodeficiency Virus Disease ","M","Black",297,34.9,34
2011,"Diseases of Heart ","F","Hispanic",1348,110,131.8
2011,"Assault ","F","Unknown",NA,NA,NA
2013,"Accidents Except Drug Posioning ","M","Other",5,NA,NA
2007,"Accidents Except Drug Posioning ","F","Black",87,8.3,8.1
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","White",314,23.4,21.4
2014,"Essential Hypertension and Renal Diseases ","M","Unknown",9,NA,NA
2009,"Influenza ","F","Asian/PI",83,15.1,20.3
2007,"All Other Causes","M","Black",1163,136.5,162.4
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Other",12,NA,NA
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","White",221,16.4,14.8
2011,"Influenza ","M","Asian/PI",94,17.8,28.7
2013,"Diseases of Heart ","M","Hispanic",1307,110.7,183.3
2011,"Chronic Lower Respiratory Diseases ","M","Black",200,23.4,29.1
2009,"Certain Conditions originating in the Perinatal Period ","M","Other",NA,NA,NA
2007,"Cerebrovascular Disease ","M","White",267,20,16.7
2013,"Cerebrovascular Disease ","F","Asian/PI",80,13.3,14.4
2014,"Diabetes Mellitus ","F","Asian/PI",50,8,8.5
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","Unknown",6,NA,NA
2007,"Septicemia ","F","Black",89,8.5,8.1
2011,"All Other Causes","M","Other",27,NA,NA
2007,"All Other Causes","M","Other",24,NA,NA
2007,"All Other Causes","M","Asian/PI",221,45.7,61.2
2009,"Diabetes Mellitus ","M","Black",285,33.6,41.4
2008,"All Other Causes","M","Unknown",67,NA,NA
2011,"Certain Conditions originating in the Perinatal Period ","M","Unknown",10,NA,NA
2008,"Cerebrovascular Disease ","F","Hispanic",152,12.9,16.4
2014,"All Other Causes","M","Hispanic",1195,100.1,143.3
2008,"Accidents Except Drug Posioning ","M","Other",NA,NA,NA
2014,"Cerebrovascular Disease ","M","Other",7,NA,NA
2014,"Diabetes Mellitus ","M","White",292,21.7,18.1
2011,"Alzheimer's Disease ","F","White",231,16.3,7.2
2009,"All Other Causes","F","Asian/PI",220,40.1,48.9
2011,"Diabetes Mellitus ","M","Black",307,36,43.9
2014,"Certain Conditions originating in the Perinatal Period ","F","Unknown",10,NA,NA
2009,"Essential Hypertension and Renal Diseases ","F","Other",NA,NA,NA
2012,"Intentional Self-Harm ","M","Other",NA,NA,NA
2008,"Cerebrovascular Disease ","F","Unknown",13,NA,NA
2013,"Diabetes Mellitus ","M","Hispanic",192,16.3,24.9
2007,"Assault ","M","Black",267,31.3,31.1
2008,"Chronic Lower Respiratory Diseases ","F","Asian/PI",30,5.6,7.9
2012,"Cerebrovascular Disease ","F","Black",271,25.9,22.1
2012,"All Other Causes","F","Asian/PI",327,56,65
2012,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Black",76,7.3,6.3
2008,"Essential Hypertension and Renal Diseases ","F","Asian/PI",32,6,8
2008,"Influenza ","F","Other",NA,NA,NA
2012,"Malignant Neoplasms ","M","Hispanic",1126,96.4,151
2013,"Diseases of Heart ","M","Asian/PI",531,95.8,123.7
2009,"Chronic Lower Respiratory Diseases ","F","White",458,31.9,19.1
2007,"All Other Causes","F","Asian/PI",182,35.3,44.6
2010,"All Other Causes","F","Asian/PI",238,42.3,51.6
2009,"Cerebrovascular Disease ","F","White",390,27.1,15.2
2010,"Diseases of Heart ","M","Unknown",70,NA,NA
2009,"Influenza ","M","Unknown",14,NA,NA
2013,"Accidents Except Drug Posioning ","M","Asian/PI",63,11.4,12.8
2010,"Diabetes Mellitus ","F","Black",384,36.6,33
2013,"Diseases of Heart ","F","Hispanic",1261,101,113.6
2009,"Cerebrovascular Disease ","M","Asian/PI",58,11.4,15.5
2014,"Diseases of Heart ","F","Black",2194,209.1,169.1
2008,"Cerebrovascular Disease ","M","White",245,18.3,15.4
2009,"Alzheimer's Disease ","F","Asian/PI",14,2.5,3.6
2008,"Viral Hepatitis ","M","Unknown",6,NA,NA
2012,"Diabetes Mellitus ","M","Hispanic",194,16.6,26.1
2012,"Chronic Lower Respiratory Diseases ","M","Hispanic",132,11.3,19.2
2008,"Diabetes Mellitus ","M","Hispanic",191,17.3,31.3
2010,"Intentional Self-Harm ","M","Unknown",NA,NA,NA
2012,"Accidents Except Drug Posioning ","M","Asian/PI",56,10.4,12
2010,"Diabetes Mellitus ","M","Black",279,32.8,41
2008,"Diseases of Heart ","M","Asian/PI",546,109.6,166.3
2014,"Diseases of Heart ","M","Black",1958,226.8,264.7
2007,"Malignant Neoplasms ","M","White",3356,250.9,213.7
2009,"Septicemia ","F","Unknown",NA,NA,NA
2014,"Diabetes Mellitus ","F","Other",11,NA,NA
2008,"Malignant Neoplasms ","M","Other",33,NA,NA
2010,"Chronic Liver Disease and Cirrhosis ","M","Other",NA,NA,NA
2014,"Diseases of Heart ","F","Hispanic",1230,97.1,106.7
2011,"Diabetes Mellitus ","M","Unknown",7,NA,NA
2009,"Cerebrovascular Disease ","M","Hispanic",143,12.7,21.1
2007,"Diabetes Mellitus ","F","Unknown",NA,NA,NA
2008,"Essential Hypertension and Renal Diseases ","M","Black",134,15.8,20.9
2014,"Chronic Lower Respiratory Diseases ","F","Other",6,NA,NA
2011,"Chronic Lower Respiratory Diseases ","M","White",444,33.3,27.8
2010,"Influenza ","F","Asian/PI",74,13.2,16.9
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ","F","Unknown",NA,NA,NA
2011,"Cerebrovascular Disease ","F","Unknown",NA,NA,NA
2014,"All Other Causes","M","Unknown",96,NA,NA
2013,"Certain Conditions originating in the Perinatal Period ","F","Unknown",9,NA,NA
2013,"Intentional Self-Harm ","M","Other",6,NA,NA
2011,"Accidents Except Drug Posioning ","M","Hispanic",180,15.6,18.9
2014,"All Other Causes","F","White",2578,181.9,110.7
2011,"Diseases of Heart ","M","Unknown",62,NA,NA
2008,"Influenza ","F","Hispanic",227,19.2,25.5
2011,"Diabetes Mellitus ","M","Asian/PI",60,11.4,14.3
2014,"Septicemia ","F","White",118,8.3,4.7
2014,"Diabetes Mellitus ","F","White",228,16.1,10
2010,"Accidents Except Drug Posioning ","F","Hispanic",58,4.8,5.2
2011,"Viral Hepatitis ","M","Unknown",NA,NA,NA
2014,"Accidents Except Drug Posioning ","M","Hispanic",176,14.7,16.9
2014,"Accidents Except Drug Posioning ","M","Black",148,17.1,17.7
2014,"Diabetes Mellitus ","M","Black",318,36.8,42.2
2011,"Human Immunodeficiency Virus Disease ","M","Unknown",10,NA,NA
2013,"All Other Causes","F","White",2595,182.5,111.1
2008,"Chronic Lower Respiratory Diseases ","M","Hispanic",132,11.9,22.8
2014,"Essential Hypertension and Renal Diseases ","F","Black",207,19.7,15.9
2014,"Accidents Except Drug Posioning ","M","Asian/PI",68,11.9,13.3
2008,"Intentional Self-Harm ","F","Unknown",NA,NA,NA
2013,"Influenza ","M","White",618,45.9,36.7
2008,"Diseases of Heart ","F","Hispanic",1445,122.3,160.7
2009,"Human Immunodeficiency Virus Disease ","M","Hispanic",196,17.5,20
2012,"Accidents Except Drug Posioning ","M","Unknown",11,NA,NA
2011,"Certain Conditions originating in the Perinatal Period ","M","Other",NA,NA,NA
2014,"Influenza ","F","Hispanic",218,17.2,18.8
2013,"Influenza ","M","Black",274,31.9,40
2009,"Essential Hypertension and Renal Diseases ","F","Asian/PI",18,3.3,4.6
2013,"Chronic Liver Disease and Cirrhosis ","M","Hispanic",149,12.6,15.7
2008,"Diseases of Heart ","M","Unknown",92,NA,NA
2010,"Influenza ","M","Unknown",NA,NA,NA
2011,"Influenza ","M","White",646,48.4,39.3
2013,"Chronic Lower Respiratory Diseases ","M","Other",NA,NA,NA
2007,"Accidents Except Drug Posioning ","F","Unknown",NA,NA,NA
2008,"Malignant Neoplasms ","F","Hispanic",1046,88.5,104.7
2012,"Malignant Neoplasms ","M","Black",1563,182.7,215.3
2011,"Diabetes Mellitus ","F","Unknown",6,NA,NA
2008,"Chronic Lower Respiratory Diseases ","M","Unknown",10,NA,NA
2012,"Intentional Self-Harm ","F","Asian/PI",33,5.6,5.8
2012,"Influenza ","F","Black",295,28.2,24.1
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","Hispanic",57,4.8,4.7
2008,"Malignant Neoplasms ","M","White",3361,250.4,214.3
2007,"Influenza ","M","Asian/PI",66,13.6,25.7
2007,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ","F","Other",NA,NA,NA
2010,"Malignant Neoplasms ","F","Other",34,NA,NA
2012,"Cerebrovascular Disease ","F","White",416,29.3,15.4
2009,"Intentional Self-Harm ","F","Asian/PI",17,3.1,3.1
2009,"Diseases of Heart ","F","Other",40,NA,NA
2008,"Diseases of Heart ","M","Black",2077,244.6,330.2
2008,"Malignant Neoplasms ","M","Asian/PI",473,95,123.5
2013,"All Other Causes","F","Other",39,NA,NA
2008,"Diabetes Mellitus ","F","Other",NA,NA,NA
2009,"All Other Causes","M","White",1818,135.1,118.5
2012,"Diabetes Mellitus ","M","White",292,21.8,18.1
2007,"Cerebrovascular Disease ","F","White",372,25.9,14.4
2012,"Essential Hypertension and Renal Diseases ","F","White",199,14,7.2
2011,"All Other Causes","M","Hispanic",1207,104.7,151.1
2008,"Chronic Lower Respiratory Diseases ","M","White",347,25.9,21.8
2008,"Malignant Neoplasms ","F","Other",21,NA,NA
2009,"Accidents Except Drug Posioning ","M","Hispanic",170,15.1,17.9
2011,"Tuberculosis ","F","Unknown",NA,NA,NA
2012,"Chronic Lower Respiratory Diseases ","F","Black",204,19.5,16.9
2010,"Septicemia ","F","White",107,7.5,4.3
2007,"Septicemia ","F","Hispanic",49,4.2,5.5
2014,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Black",90,8.6,7.1
2012,"Malignant Neoplasms ","F","White",3256,229.6,157.3
2010,"Influenza ","M","Asian/PI",108,20.7,31.7
2012,"Certain Conditions originating in the Perinatal Period ","M","Other",NA,NA,NA
2012,"Diseases of Heart ","F","Other",48,NA,NA
2010,"Diabetes Mellitus ","M","Asian/PI",64,12.3,15.5
2013,"Cerebrovascular Disease ","F","White",427,30,16.4
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","White",272,20.3,18.7
2007,"Accidents Except Drug Posioning ","F","Hispanic",71,6.1,7.1
2008,"Assault ","M","Black",286,33.7,33.8
2010,"Chronic Liver Disease and Cirrhosis ","M","Hispanic",150,13.1,17.6
2009,"Cerebrovascular Disease ","F","Asian/PI",61,11.1,14.1
2008,"Cerebrovascular Disease ","F","Other",NA,NA,NA
2011,"Accidents Except Drug Posioning ","F","White",184,13,8.2
2008,"Diseases of Heart ","F","Asian/PI",456,85.6,117.7
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ","F","Other",NA,NA,NA
2007,"Diseases of Heart ","F","Unknown",82,NA,NA
2009,"Human Immunodeficiency Virus Disease ","F","Hispanic",96,8,8.1
2007,"Assault ","F","Other",NA,NA,NA
2011,"Accidents Except Drug Posioning ","M","Asian/PI",61,11.5,14.8
2014,"Malignant Neoplasms ","M","White",3142,234,195.1
2010,"Accidents Except Drug Posioning ","M","Hispanic",132,11.6,13.9
2012,"Influenza ","F","Hispanic",209,16.9,19.6
2010,"Certain Conditions originating in the Perinatal Period ","M","Unknown",6,NA,NA
2010,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Black",86,8.2,7.4
2010,"Cerebrovascular Disease ","F","Hispanic",168,13.8,16.7
2010,"Cerebrovascular Disease ","M","White",276,20.6,17.2
2013,"Alzheimer's Disease ","F","Unknown",8,NA,NA
2014,"Diabetes Mellitus ","M","Other",18,NA,NA
2007,"Insitu or Benign / Uncertain Neoplasms ","F","Other",NA,NA,NA
2014,"Certain Conditions originating in the Perinatal Period ","M","Other",8,NA,NA
2013,"Malignant Neoplasms ","M","Unknown",99,NA,NA
2012,"Malignant Neoplasms ","M","White",3184,237.7,200.7
2008,"All Other Causes","M","Black",1216,143.2,163.5
2008,"Accidents Except Drug Posioning ","M","White",272,20.3,18.4
2007,"Chronic Lower Respiratory Diseases ","F","Other",NA,NA,NA
2008,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Black",71,6.8,6.3
2012,"Essential Hypertension and Renal Diseases ","F","Asian/PI",39,6.7,7.8
2014,"Essential Hypertension and Renal Diseases ","F","Unknown",NA,NA,NA
2012,"All Other Causes","M","Black",1320,154.3,175
2008,"Malignant Neoplasms ","M","Unknown",60,NA,NA
2012,"Human Immunodeficiency Virus Disease ","F","Black",136,13,11.6
2008,"Human Immunodeficiency Virus Disease ","F","Hispanic",113,9.6,9.6
2014,"Alzheimer's Disease ","F","Hispanic",142,11.2,12.5
2008,"All Other Causes","F","Unknown",42,NA,NA
2010,"Diabetes Mellitus ","F","White",258,18,11.1
2009,"Diseases of Heart ","M","Black",2068,243.5,318.9
2011,"Intentional Self-Harm ","M","Other",5,NA,NA
2012,"Certain Conditions originating in the Perinatal Period ","F","Unknown",11,NA,NA
2011,"Malignant Neoplasms ","M","Black",1590,186.4,224.4
2010,"Chronic Lower Respiratory Diseases ","M","Hispanic",149,13,23.9
2011,"Malignant Neoplasms ","M","Other",36,NA,NA
2014,"Cerebrovascular Disease ","F","Hispanic",220,17.4,19
2008,"Accidents Except Drug Posioning ","F","Asian/PI",36,6.8,8.5
2014,"Alzheimer's Disease ","F","White",276,19.5,8.6
2013,"Diabetes Mellitus ","F","Unknown",15,NA,NA
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Unknown",6,NA,NA
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",183,16.8,17.9
2009,"Human Immunodeficiency Virus Disease ","F","Unknown",NA,NA,NA
2008,"Diseases of Heart ","F","White",6836,476.2,245.5
2009,"Cerebrovascular Disease ","M","White",227,16.9,14.2
2008,"Diabetes Mellitus ","M","Asian/PI",52,10.4,14.9
2014,"Chronic Liver Disease and Cirrhosis ","F","Unknown",NA,NA,NA
2012,"All Other Causes","F","Hispanic",1109,89.5,98.8
2007,"Diabetes Mellitus ","F","Asian/PI",34,6.6,8.3
2008,"Chronic Lower Respiratory Diseases ","F","Hispanic",156,13.2,16.8
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","Unknown",6,NA,NA
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","White",254,19,17.3
2008,"Accidents Except Drug Posioning ","F","Other",NA,NA,NA
2009,"Diabetes Mellitus ","M","Other",NA,NA,NA
2010,"Malignant Neoplasms ","M","Other",25,NA,NA
2014,"Human Immunodeficiency Virus Disease ","M","Hispanic",92,7.7,8.7
2010,"Human Immunodeficiency Virus Disease ","F","Black",152,14.5,12.9
2008,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Asian/PI",13,2.4,3.3
2014,"Chronic Lower Respiratory Diseases ","F","Unknown",12,NA,NA
2007,"Human Immunodeficiency Virus Disease ","F","Black",248,23.6,22.1
2010,"Atherosclerosis ","F","Unknown",NA,NA,NA
2014,"All Other Causes","F","Black",1536,146.4,126.4
2009,"Nephritis, Nephrotic Syndrome and Nephrisis ","F","Black",75,7.2,6.7
2008,"Chronic Liver Disease and Cirrhosis ","F","Other",NA,NA,NA
2012,"Influenza ","F","Unknown",6,NA,NA
2014,"Accidents Except Drug Posioning ","F","White",169,11.9,7.4
2009,"Malignant Neoplasms ","M","White",3236,240.5,205.6
2009,"Intentional Self-Harm ","M","White",191,14.2,13
2013,"Essential Hypertension and Renal Diseases ","M","Black",148,17.2,20.9
